  Epoch   1/30 | Train Loss: 0.659651 | Val Loss: 0.667533 | LR: 6.90e-05
  Epoch   2/30 | Train Loss: 0.469982 | Val Loss: 0.588062 | LR: 1.52e-04
  Epoch   3/30 | Train Loss: 0.428302 | Val Loss: 0.552642 | LR: 2.80e-04
  Epoch   4/30 | Train Loss: 0.384768 | Val Loss: 0.512038 | LR: 4.37e-04
  Epoch   5/30 | Train Loss: 0.351848 | Val Loss: 0.483504 | LR: 6.03e-04
  Epoch   6/30 | Train Loss: 0.334031 | Val Loss: 0.472296 | LR: 7.60e-04
  Epoch   7/30 | Train Loss: 0.323285 | Val Loss: 0.458565 | LR: 8.88e-04
  Epoch   8/30 | Train Loss: 0.314887 | Val Loss: 0.463766 | LR: 9.71e-04
  Epoch   9/30 | Train Loss: 0.306852 | Val Loss: 0.458467 | LR: 1.00e-03
  Epoch  10/30 | Train Loss: 0.301205 | Val Loss: 0.453678 | LR: 9.94e-04
  Epoch  11/30 | Train Loss: 0.296908 | Val Loss: 0.453181 | LR: 9.78e-04
  Epoch  12/30 | Train Loss: 0.293249 | Val Loss: 0.449812 | LR: 9.50e-04
  Epoch  13/30 | Train Loss: 0.290332 | Val Loss: 0.467306 | LR: 9.13e-04
  Epoch  14/30 | Train Loss: 0.287611 | Val Loss: 0.466169 | LR: 8.66e-04
  Epoch  15/30 | Train Loss: 0.285362 | Val Loss: 0.470704 | LR: 8.12e-04
  Epoch  16/30 | Train Loss: 0.283373 | Val Loss: 0.487629 | LR: 7.50e-04
  Epoch  17/30 | Train Loss: 0.281452 | Val Loss: 0.469192 | LR: 6.83e-04
  Epoch  18/30 | Train Loss: 0.279928 | Val Loss: 0.472150 | LR: 6.11e-04
  Epoch  19/30 | Train Loss: 0.278408 | Val Loss: 0.464002 | LR: 5.37e-04
  Epoch  20/30 | Train Loss: 0.277133 | Val Loss: 0.463356 | LR: 4.63e-04
  Early stopping at epoch 20
  [3/6] traffic pl96 full_v2 s123 -> MSE=0.51592 MAE=0.36427 (2115s)
  Epoch   1/30 | Train Loss: 0.627449 | Val Loss: 0.594021 | LR: 6.90e-05
  Epoch   2/30 | Train Loss: 0.439254 | Val Loss: 0.531834 | LR: 1.52e-04
  Epoch   3/30 | Train Loss: 0.403941 | Val Loss: 0.505160 | LR: 2.80e-04
  Epoch   4/30 | Train Loss: 0.380190 | Val Loss: 0.478852 | LR: 4.37e-04
  Epoch   5/30 | Train Loss: 0.358534 | Val Loss: 0.459518 | LR: 6.03e-04
  Epoch   6/30 | Train Loss: 0.344211 | Val Loss: 0.452757 | LR: 7.60e-04
  Epoch   7/30 | Train Loss: 0.335701 | Val Loss: 0.453167 | LR: 8.88e-04
  Epoch   8/30 | Train Loss: 0.330626 | Val Loss: 0.452888 | LR: 9.71e-04
  Epoch   9/30 | Train Loss: 0.326909 | Val Loss: 0.452887 | LR: 1.00e-03
  Epoch  10/30 | Train Loss: 0.323373 | Val Loss: 0.458655 | LR: 9.94e-04
  Epoch  11/30 | Train Loss: 0.320753 | Val Loss: 0.454791 | LR: 9.78e-04
  Epoch  12/30 | Train Loss: 0.319227 | Val Loss: 0.455798 | LR: 9.50e-04
  Epoch  13/30 | Train Loss: 0.317854 | Val Loss: 0.455821 | LR: 9.13e-04
  Epoch  14/30 | Train Loss: 0.316662 | Val Loss: 0.450258 | LR: 8.66e-04
  Epoch  15/30 | Train Loss: 0.315545 | Val Loss: 0.452577 | LR: 8.12e-04
  Epoch  16/30 | Train Loss: 0.314771 | Val Loss: 0.453392 | LR: 7.50e-04
  Epoch  17/30 | Train Loss: 0.314075 | Val Loss: 0.454276 | LR: 6.83e-04
  Epoch  18/30 | Train Loss: 0.313566 | Val Loss: 0.451453 | LR: 6.11e-04
  Epoch  19/30 | Train Loss: 0.313104 | Val Loss: 0.450416 | LR: 5.37e-04
  Epoch  20/30 | Train Loss: 0.312521 | Val Loss: 0.448168 | LR: 4.63e-04
  Epoch  21/30 | Train Loss: 0.312166 | Val Loss: 0.448223 | LR: 3.89e-04
  Epoch  22/30 | Train Loss: 0.311583 | Val Loss: 0.449397 | LR: 3.17e-04
  Epoch  23/30 | Train Loss: 0.311371 | Val Loss: 0.448330 | LR: 2.50e-04
  Epoch  24/30 | Train Loss: 0.311020 | Val Loss: 0.448286 | LR: 1.88e-04
  Epoch  25/30 | Train Loss: 0.310649 | Val Loss: 0.449148 | LR: 1.33e-04
  Epoch  26/30 | Train Loss: 0.310458 | Val Loss: 0.447109 | LR: 8.69e-05
  Epoch  27/30 | Train Loss: 0.310226 | Val Loss: 0.447145 | LR: 4.95e-05
  Epoch  28/30 | Train Loss: 0.310188 | Val Loss: 0.447975 | LR: 2.22e-05
  Epoch  29/30 | Train Loss: 0.309971 | Val Loss: 0.447613 | LR: 5.58e-06
  Epoch  30/30 | Train Loss: 0.309954 | Val Loss: 0.446549 | LR: 4.00e-09
  [4/6] traffic pl192 patchtst s123 -> MSE=0.54743 MAE=0.33785 (675s)
  Epoch   1/30 | Train Loss: 0.610257 | Val Loss: 0.605006 | LR: 6.90e-05
  Epoch   2/30 | Train Loss: 0.431083 | Val Loss: 0.528011 | LR: 1.52e-04
  Epoch   3/30 | Train Loss: 0.391855 | Val Loss: 0.493819 | LR: 2.80e-04
  Epoch   4/30 | Train Loss: 0.366688 | Val Loss: 0.467262 | LR: 4.37e-04
  Epoch   5/30 | Train Loss: 0.349357 | Val Loss: 0.454003 | LR: 6.03e-04
  Epoch   6/30 | Train Loss: 0.336886 | Val Loss: 0.446656 | LR: 7.60e-04
  Epoch   7/30 | Train Loss: 0.328193 | Val Loss: 0.442368 | LR: 8.88e-04
  Epoch   8/30 | Train Loss: 0.322838 | Val Loss: 0.441650 | LR: 9.71e-04
  Epoch   9/30 | Train Loss: 0.318894 | Val Loss: 0.441114 | LR: 1.00e-03
  Epoch  10/30 | Train Loss: 0.315839 | Val Loss: 0.442992 | LR: 9.94e-04
  Epoch  11/30 | Train Loss: 0.313622 | Val Loss: 0.440083 | LR: 9.78e-04
  Epoch  12/30 | Train Loss: 0.311925 | Val Loss: 0.445901 | LR: 9.50e-04
  Epoch  13/30 | Train Loss: 0.310383 | Val Loss: 0.448132 | LR: 9.13e-04
  Epoch  14/30 | Train Loss: 0.309393 | Val Loss: 0.445562 | LR: 8.66e-04
  Epoch  15/30 | Train Loss: 0.308453 | Val Loss: 0.443071 | LR: 8.12e-04
  Epoch  16/30 | Train Loss: 0.307528 | Val Loss: 0.448068 | LR: 7.50e-04
  Epoch  17/30 | Train Loss: 0.306677 | Val Loss: 0.447040 | LR: 6.83e-04
  Epoch  18/30 | Train Loss: 0.306070 | Val Loss: 0.449517 | LR: 6.11e-04
  Epoch  19/30 | Train Loss: 0.305419 | Val Loss: 0.450724 | LR: 5.37e-04
  Early stopping at epoch 19
  [5/6] traffic pl192 no_gate s123 -> MSE=0.52867 MAE=0.34681 (555s)
  Epoch   1/30 | Train Loss: 0.624383 | Val Loss: 0.590959 | LR: 6.90e-05
  Epoch   2/30 | Train Loss: 0.430732 | Val Loss: 0.522616 | LR: 1.52e-04
  Epoch   3/30 | Train Loss: 0.386279 | Val Loss: 0.485747 | LR: 2.80e-04
  Epoch   4/30 | Train Loss: 0.353069 | Val Loss: 0.463272 | LR: 4.37e-04
  Epoch   5/30 | Train Loss: 0.333682 | Val Loss: 0.444711 | LR: 6.03e-04
  Epoch   6/30 | Train Loss: 0.320298 | Val Loss: 0.434973 | LR: 7.60e-04
  Epoch   7/30 | Train Loss: 0.311057 | Val Loss: 0.431058 | LR: 8.88e-04
  Epoch   8/30 | Train Loss: 0.304346 | Val Loss: 0.428039 | LR: 9.71e-04
  Epoch   9/30 | Train Loss: 0.299443 | Val Loss: 0.424112 | LR: 1.00e-03
  Epoch  10/30 | Train Loss: 0.295171 | Val Loss: 0.423607 | LR: 9.94e-04
  Epoch  11/30 | Train Loss: 0.291755 | Val Loss: 0.422141 | LR: 9.78e-04
  Epoch  12/30 | Train Loss: 0.288868 | Val Loss: 0.421673 | LR: 9.50e-04
  Epoch  13/30 | Train Loss: 0.286521 | Val Loss: 0.426001 | LR: 9.13e-04
  Epoch  14/30 | Train Loss: 0.284527 | Val Loss: 0.423261 | LR: 8.66e-04
  Epoch  15/30 | Train Loss: 0.282504 | Val Loss: 0.420369 | LR: 8.12e-04
  Epoch  16/30 | Train Loss: 0.281036 | Val Loss: 0.417076 | LR: 7.50e-04
  Epoch  17/30 | Train Loss: 0.279758 | Val Loss: 0.414806 | LR: 6.83e-04
  Epoch  18/30 | Train Loss: 0.278413 | Val Loss: 0.416662 | LR: 6.11e-04
  Epoch  19/30 | Train Loss: 0.277370 | Val Loss: 0.413186 | LR: 5.37e-04
  Epoch  20/30 | Train Loss: 0.276274 | Val Loss: 0.413220 | LR: 4.63e-04
  Epoch  21/30 | Train Loss: 0.275510 | Val Loss: 0.415305 | LR: 3.89e-04
  Epoch  22/30 | Train Loss: 0.274685 | Val Loss: 0.412105 | LR: 3.17e-04
  Epoch  23/30 | Train Loss: 0.274037 | Val Loss: 0.415946 | LR: 2.50e-04
  Epoch  24/30 | Train Loss: 0.273468 | Val Loss: 0.413645 | LR: 1.88e-04
  Epoch  25/30 | Train Loss: 0.272884 | Val Loss: 0.411902 | LR: 1.33e-04
  Epoch  26/30 | Train Loss: 0.272405 | Val Loss: 0.413802 | LR: 8.69e-05
  Epoch  27/30 | Train Loss: 0.272107 | Val Loss: 0.412061 | LR: 4.95e-05
  Epoch  28/30 | Train Loss: 0.271907 | Val Loss: 0.411887 | LR: 2.22e-05
  Epoch  29/30 | Train Loss: 0.271726 | Val Loss: 0.412607 | LR: 5.58e-06
  Epoch  30/30 | Train Loss: 0.271633 | Val Loss: 0.412628 | LR: 4.00e-09
  [6/6] traffic pl192 full_v2 s123 -> MSE=0.49222 MAE=0.32473 (3057s)
shard 完成: ./output_traffic/jobs_shard1.json (6/6 个结果, 失败见 /home/wangsh/workspace/Liu/03_experiments/CausalCIT/CausalCIT_ablation/output_traffic/errors_shard1.csv)
